Type	Accession	Unique Name
Experiment	ERX4715968	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:493-1
Experiment	ERX4715969	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:493-2
Experiment	ERX4715970	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:493-3
Experiment	ERX4715971	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:493-4
Experiment	ERX4715972	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:493-5
Experiment	ERX4715973	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:493-6
Experiment	ERX4715974	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:493-7
Experiment	ERX4715975	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:493-8
Experiment	ERX4715976	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:493-9
Experiment	ERX4715977	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:493-10
Experiment	ERX4715978	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:493-11
Experiment	ERX4715979	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:493-12
Experiment	ERX4715980	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:493-13
Experiment	ERX4715981	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:493-14
Experiment	ERX4715982	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:493-15
Experiment	ERX4715983	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:493-16
Experiment	ERX4715984	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:493-17
Experiment	ERX4715985	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-18
Experiment	ERX4715986	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-19
Experiment	ERX4715987	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-20
Experiment	ERX4715988	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-21
Experiment	ERX4715989	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-22
Experiment	ERX4715990	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-23
Experiment	ERX4715991	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-24
Experiment	ERX4715992	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-25
Experiment	ERX4715993	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-26
Experiment	ERX4715994	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-27
Experiment	ERX4715995	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-28
Experiment	ERX4715996	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-29
Experiment	ERX4715997	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-30
Experiment	ERX4715998	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-31
Experiment	ERX4715999	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-32
Experiment	ERX4716000	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-33
Experiment	ERX4716001	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-34
Experiment	ERX4716002	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-35
Experiment	ERX4716003	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-36
Experiment	ERX4716004	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-37
Experiment	ERX4716005	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-38
Experiment	ERX4716006	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-39
Experiment	ERX4716007	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-40
Experiment	ERX4716008	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-41
Experiment	ERX4716009	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-42
Experiment	ERX4716010	ena-EXPERIMENT-MPI-EVA-18-11-2020-09:17:33:494-43
