chr	n	mean	sd
1	67	0.21461886969715058	0.08216346811851613
2	65	0.2040326848078241	0.07927747946836083
3	53	0.2178350049560002	0.0772433798565838
4	24	0.19720232672745874	0.06872782148016321
5	44	0.21397189894473465	0.07995698111548259
6	58	0.19659896656973633	0.0858576870768227
7	39	0.1973476465450349	0.09070300423263833
8	44	0.22153322407717715	0.08114606022798822
9	38	0.22830962291547896	0.08221898976021125
10	53	0.2063017251830749	0.09246317094248567
11	44	0.213381047680279	0.0869327771885798
12	38	0.2052566594099582	0.0679509138126124
13	22	0.22827163146323182	0.07477964925064264
14	25	0.23125181860331356	0.09702986228734693
15	32	0.2297248602894915	0.08829802298954392
16	35	0.21147097135095508	0.09869726802950571
17	28	0.24825156229482762	0.0865085977276774
18	29	0.1912179000178168	0.0728128562798914
19	10	0.23880372931666036	0.09090200240770689
20	37	0.20824320198397175	0.0732422452099355
21	10	0.19827947068055962	0.06936009278387831
22	18	0.19352110769302885	0.06736021268823783
X	1	0.36	NaN
