sampleID	libraryID	Amount powder (mg)	Input volume in lib prep (µL)	# qPCR (all molecules)	# qPCR (spike-in)	raw reads	reads w/ L35	reads w/ MQ25	% mapped L35MQ25	unique reads	average_duplications	deaminated L35MQ25 reads	5' C>T frequency	3' C>T frequency
RBC1	D5864	52.6	10	46500000000	77800	3944261	2712084	363	0.013	362	1	97	51.22	27.06
RBC1	F7638	50.2	10	170000000000	582000	10205870	6632403	493	0.007	480	1.03	97	30.63	21.93
RBC1	F7639	57.2	10	201000000000	611000	9197652	6577981	436	0.007	427	1.02	71	27.37	25.26
RBC1	F7640	49.9	10	201000000000	649000	7787931	5574355	439	0.008	431	1.02	77	38.82	21.18
RBC1	F7641	63.1	10	154000000000	641000	6844132	5007407	395	0.008	388	1.02	95	39.36	16.67
RBC1	F8851	52.6	10	17743750000	280500	2257410	1461056	166	0.011	165	1.01	40	40.54	26.32
RBC1	F8852	52.6	10	10306250000	173900	1955908	1283610	151	0.012	150	1.01	35	56	25
RBC1	F8853	52.6	10	21848750000	406000	1793979	1061543	136	0.013	136	1	39	25.93	37.93
RBC1	F8854	49.9	10	70475000000	350500	1720163	1238355	102	0.008	102	1	12	35.29	0
RBC1	F8855	49.9	10	116100000000	459500	2083565	1505265	118	0.008	117	1.01	17	46.15	40
RBC1	F8856	49.9	10	60087500000	259500	2149938	1537783	136	0.009	135	1.01	23	33.33	15
RBC1	F8857	63.1	10	70450000000	351000	1925097	1443207	103	0.007	101	1.02	24	30	25
RBC1	F8858	63.1	10	56762500000	223275	1922169	1433610	97	0.007	96	1.01	23	39.13	23.81
RBC2	D5865	50.2	10	97000000000	92000	4011142	2750463	544	0.02	539	1.01	146	57.52	34.04
RBC2	F7642	62.9	10	206000000000	594000	6900930	4812450	634	0.013	628	1.01	166	46.48	34.4
RBC2	F7643	39.3	10	111000000000	574000	7149574	4804206	1180	0.025	1171	1.01	356	51	35.56
RBC2	F7644	63.3	10	233000000000	540000	8825104	6336722	2456	0.039	2435	1.01	725	49.44	34.88
RBC2	F7645	75.9	10	180000000000	502000	8406994	6184287	1067	0.017	1061	1.01	293	53.39	30.97
RBC2	F8862	50.2	10	65400000000	388250	1970355	1257609	202	0.016	200	1.01	48	39.13	34.15
RBC2	F8863	50.2	10	81300000000	467250	2032066	1303693	229	0.018	228	1	69	60	37.78
RBC2	F8864	50.2	10	68537500000	481750	2048503	1314263	254	0.019	253	1	80	62.71	56.6
RBC2	F8865	63.3	10	57825000000	244575	1950996	1408813	586	0.042	585	1	160	59.17	31.73
RBC2	F8866	63.3	10	84675000000	348750	1490887	1077709	411	0.038	410	1	134	51.89	47.37
RBC2	F8867	63.3	10	58462500000	210650	1723947	1244039	484	0.039	483	1	139	43.14	46.51
